"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"300","Unincorporated - San Jose Hills",3432,16972,16784,67,331,354,20221
"301","Unincorporated - San Pasqual",37,1818,1960,0,0,0,2035
"302","Unincorporated - Sand Canyon",17,5519,15606,0,0,0,308
"303","Unincorporated - Santa Catalina Island",164,61423,73452,2,749,1010,267
"304","Unincorporated - Santa Monica Mountains",601,3228,3662,7,38,36,18621
"305","Unincorporated - Saugus",132,85161,83046,0,0,0,155
"306","Unincorporated - Saugus/Canyon Country",39,10955,21393,1,281,353,356
"307","Unincorporated - South Antelope Valley",27,5934,6643,0,0,0,455
"308","Unincorporated - South El Monte",345,19220,18677,4,223,267,1795
"309","Unincorporated - South San Gabriel",930,10511,9918,44,497,312,8848
"310","Unincorporated - South Whittier",8210,13863,13587,140,236,251,59222
"311","Unincorporated - Southeast Antelope Valley",74,9475,10094,0,0,0,781
"312","Unincorporated - Stevenson Ranch",1092,5208,5098,4,19,23,20966
"313","Unincorporated - Sun Village",921,15258,15665,9,149,161,6036
"314","Unincorporated - Sunrise Village",190,14660,15210,1,77,63,1296
"315","Unincorporated - Twin Lakes/Oat Mountain",88,5308,5355,2,121,126,1658
"316","Unincorporated - Val Verde",325,9822,9656,1,30,50,3309
"317","Unincorporated - Valencia",185,6022,7950,2,65,281,3072
"318","Unincorporated - Valinda",3672,15712,15421,64,274,281,23371
"319","Unincorporated - View Park/Windsor Hills",661,5681,5877,13,112,53,11635
"320","Unincorporated - Walnut Park",3034,18795,18574,51,316,350,16143
"321","Unincorporated - West Antelope Valley",51,3375,4331,1,66,28,1511
"322","Unincorporated - West Carson",2091,9468,9144,115,521,318,22086
"323","Unincorporated - West LA",219,23004,21057,15,1576,932,952
"324","Unincorporated - West Puente Valley",1683,17112,16764,22,224,216,9835
"325","Unincorporated - West Rancho Dominguez",189,13907,13707,5,368,320,1359
"326","Unincorporated - West Whittier/Los Nietos",4143,15387,15154,80,297,278,26925
"327","Unincorporated - Westfield/Academy Hills",41,3154,3413,0,0,0,1300
"328","Unincorporated - Westhills",42,5006,6021,0,0,0,839
"329","Unincorporated - White Fence Farms",261,7087,7153,2,54,36,3683
"330","Unincorporated - Whittier",306,8087,8098,9,238,159,3784
"331","Unincorporated - Whittier Narrows",13,108333,65289,1,8333,3606,12
"332","Unincorporated - Willowbrook",5893,16879,17106,85,243,310,34913
"333","Unincorporated - Wiseburn",495,8213,8088,10,166,149,6027
